timestamp,mock_eda,mock_hr,mock_hrv
2026-05-19 17:17:36.352,4.9943,75.3094,59.2424
2026-05-19 17:17:36.372,5.0457,75.3094,59.2424
2026-05-19 17:17:36.393,5.004,75.3094,59.2424
2026-05-19 17:17:36.413,5.0218,75.3094,59.2424
2026-05-19 17:17:36.433,4.9662,75.3094,59.2424
2026-05-19 17:17:36.453,4.9871,75.3094,59.2424
2026-05-19 17:17:36.474,5.0391,75.3094,59.2424
2026-05-19 17:17:36.495,5.0218,75.3094,59.2424
2026-05-19 17:17:36.515,5.0075,75.3094,59.2424
2026-05-19 17:17:36.536,5.0152,75.3094,59.2424
2026-05-19 17:17:36.557,4.9823,75.3094,59.2424
2026-05-19 17:17:36.577,4.9882,75.3094,59.2424
2026-05-19 17:17:36.598,5.0622,75.3094,59.2424
2026-05-19 17:17:36.618,5.0621,75.3094,59.2424
2026-05-19 17:17:36.639,4.991,75.3094,59.2424
2026-05-19 17:17:36.660,5.0412,75.3094,59.2424
2026-05-19 17:17:36.680,5.053,75.3094,59.2424
2026-05-19 17:17:36.701,5.011,75.3094,59.2424
2026-05-19 17:17:36.722,5.0369,75.3094,59.2424
2026-05-19 17:17:36.743,5.038,75.3094,59.2424
2026-05-19 17:17:36.763,5.0606,75.3094,59.2424
2026-05-19 17:17:36.784,5.0122,75.3094,59.2424
2026-05-19 17:17:36.805,5.0075,75.3094,59.2424
2026-05-19 17:17:36.825,5.0592,75.3094,59.2424
2026-05-19 17:17:36.845,5.0655,75.3094,59.2424
2026-05-19 17:17:36.865,5.0963,75.3094,59.2424
2026-05-19 17:17:36.886,5.0038,75.3094,59.2424
2026-05-19 17:17:36.907,5.0246,75.3094,59.2424
2026-05-19 17:17:36.928,5.0982,75.3094,59.2424
2026-05-19 17:17:36.948,5.0162,75.3094,59.2424
2026-05-19 17:17:36.970,5.1103,75.3094,59.2424
2026-05-19 17:17:36.990,5.0679,75.3094,59.2424
2026-05-19 17:17:37.010,5.0555,75.3094,59.2424
2026-05-19 17:17:37.031,5.0369,75.3094,59.2424
2026-05-19 17:17:37.051,5.0436,75.3094,59.2424
2026-05-19 17:17:37.072,5.0989,75.3094,59.2424
2026-05-19 17:17:37.092,5.0406,75.3094,59.2424
2026-05-19 17:17:37.113,5.0633,75.3094,59.2424
2026-05-19 17:17:37.133,5.0665,75.3094,59.2424
2026-05-19 17:17:37.154,5.092,75.3094,59.2424
2026-05-19 17:17:37.174,5.1131,75.3094,59.2424
2026-05-19 17:17:37.195,5.1112,75.3094,59.2424
2026-05-19 17:17:37.215,5.1096,75.3094,59.2424
2026-05-19 17:17:37.235,5.0734,75.3094,59.2424
